id,TÊN THỰC PHẨM,calories,water_g,protein_g,fats_g,carbs_g,fiber_g
131,Cá trắm cỏ,91,79.4,17.0,2.6,0.0,0.0
132,Cá trê,173,70.4,16.5,11.9,0.0,0.0
133,Cá trích,166,70.5,17.7,10.6,0.0,0.0
134,Cá trích hộp,233,56.7,22.3,14.4,3.5,0.0
135,Cá trôi,127,74.3,18.8,5.7,0.0,0.0
136,Cải bắp,36,90,1.8,0.09,6.91,1.6
137,Cải bắp đỏ,61,84,1.9,0.2,13.0,4.0
138,Cải bắp khô,301,16,18.0,1.6,53.7,14.0
139,Cải cúc,22,93.8,1.6,,3.9,2.0
140,Cải ngọt,17,95.2,1.4,0.1,2.62,
141,Cải soong,22,93.7,2.1,0.07,3.33,2.0
142,Cải thảo,14,95.8,0.9,0.0,2.57,
143,Cải thìa (cải trắng),24,93.2,1.4,0.14,4.26,1.8
144,Cải xanh,23,93.8,1.7,0.14,3.76,1.8
145,Cam,43,88.8,0.9,0.06,9.74,1.4
146,Cần ta,16,95.3,1.0,,3.0,1.5
147,Cần tây,54,85,3.7,0.16,9.44,1.5
148,Caramen,109,77.3,5.2,4.1,12.81,0.0
149,Cary bột,318,10,8.2,7.3,54.9,8.9
150,Chả cá basa,186,67.8,11.1,13.0,6.12,0.0
151,Chả lá lốt,306,52.9,20.0,24.8,0.8,
152,Chả lợn,517,32.6,10.8,50.4,5.1,0.0
153,Chả quế,339,49.1,18.3,29.0,1.1,0.4
154,Chả quế lợn,416,42.5,16.2,39.0,0.0,0.0
155,Chân giò lợn,230,64.7,15.7,18.6,0.0,0.0
156,Chanh,29,92.5,0.9,0.14,5.96,1.3
157,Cháo lòng,69,87.3,1.4,4.4,6.0,0.1
158,Cháo sườn,40,89.7,1.5,0.2,8.0,0.1
159,Cháo trai,49,87.7,2.2,0.7,8.4,0.3
160,Châu chấu,130,71.1,24.3,3.6,0.0,0.0
161,Chè bưởi,73,82,0.8,0.41,16.64,0.2
162,Chè chuối,82,80.4,1.37,0.87,17.08,0.0
163,Chè cốm,80,80.4,0.23,0.32,19.04,0.0
164,Chè đỗ đen,79,80.3,1.21,0.26,18.02,0.1
165,Chè đỗ đỏ,77,80.7,1.85,0.39,16.51,0.2
166,Chè đỗ xanh,79,80.6,1.35,0.39,17.54,0.1
167,Chè hạt sen,75,81.3,1.25,0.13,17.12,0.1
168,Chè khoai sọ,83,79.3,0.78,0.42,19.05,0.1
169,Chè ngô cốm,72,82.5,0.35,0.6,16.42,0.0
170,Chè sắn,86,79.2,0.57,0.73,19.24,0.1
171,Chè Thái,82,80.1,0.72,0.51,18.53,0.0
172,Chôm chôm,77,80.3,1.5,0.0,17.7,1.3
173,Chuối khô,301,22,5.0,0.0,70.3,2.3
174,Chuối nước đường,63,83.9,0.5,0.0,15.2,1.3
175,Chuối tây,66,83.2,0.9,0.3,15.0,0.0
176,Chuối tiêu,100,74.4,1.5,0.2,23.0,0.8
177,Chuối xanh,78,80.2,1.2,0.32,17.48,1.0
178,Cô nhắc (cồn 32 g),224,67.8,0.0,0.0,0.0,0.0
179,Cốc tain (cồn 13 g),155,71,0.0,,15.74,0.0
180,Coca cola,42,89.4,0.0,,10.4,0.0
181,Cốm,307,24.4,4.4,1.7,68.5,0.6
182,Cơm rang,198,56.2,6.0,9.65,21.85,1.0
183,Con trùng trục,108,72.7,14.4,1.3,9.65,0.0
184,Củ ấu,119,69.2,3.6,0.5,25.0,1.0
185,Củ cái,134,65.5,3.1,0.12,30.18,1.8
186,Củ cải đỏ,52,86,1.3,,11.7,0.9
187,Củ cải trắng,27,92.1,1.5,0.09,5.11,1.5
188,Củ cải trắng khô,290,16,17.6,1.5,51.6,17.7
189,Củ đậu,31,92,1.0,,6.7,0.7
190,Củ dong,129,66.5,1.4,,30.8,2.4
191,Củ niễng,37,90.2,2.0,,7.2,1.8
192,Củ sắn,158,60,1.1,0.2,37.9,1.5
193,Củ sắn dây,156,60.3,1.6,0.1,37.2,9.2
194,Củ súng khô (đã bỏ vỏ),359,8.6,16.1,0.5,72.6,2.3
195,Củ từ,97,75,1.5,,22.7,1.2
196,Cua bể,103,72.2,17.5,0.6,7.0,0.0
197,Cua đồng,87,74.4,12.3,3.3,2.0,0.0
198,Cua ghẹ,54,85.5,11.9,0.7,0.0,0.0
199,Cùi dừa già,385,47.6,4.8,36.0,10.4,4.2
200,Cùi dừa non,54,87.8,3.5,1.7,6.1,3.5
201,Dạ dày bò,97,80.5,14.8,4.2,0.0,0.0
202,Dạ dày lợn,85,81.7,14.6,2.9,0.0,0.0
203,Dăm bông lợn,318,48.7,23.0,25.0,0.3,0.0
204,Đào,37,90.5,0.9,0.2,7.8,1.5
205,Đầu bò,185,68.7,18.1,12.5,0.0,0.0
206,Dầu bông,900,0,0.0,100.0,0.0,0.0
207,Dầu cám gạo,900,0,0.0,100.0,0.0,0.0
208,Dầu cọ,900,0,0.0,100.0,0.0,0.0
209,Đậu cô ve,77,80,5.0,,14.3,1.0
210,Đậu cô ve (hạt),335,14,21.8,1.6,58.4,3.5
211,Dầu đậu tương,900,0,0.0,100.0,0.0,0.0
212,Đậu đen (hạt),341,14,24.2,1.7,57.3,4.0
213,Dầu dừa,900,0,0.0,100.0,0.0,0.0
214,Đậu đũa,67,83,6.0,0.31,9.99,2.0
215,Đậu đũa (hạt),338,14,23.7,2.0,56.2,4.3
216,Dâu gia,27,92.8,0.6,,6.2,0.0
217,Đậu Hà Lan,75,81,6.5,0.29,11.71,1.0
218,Đậu Hà lan (hạt),342,13.6,22.2,1.4,60.1,6.0
219,Dầu lạc,900,0,0.0,100.0,0.0,0.0
220,Đầu lợn,335,54.6,13.4,31.3,0.0,0.0
221,Dầu mè,900,0,0.0,100.0,0.0,0.0
222,Dầu ngô,900,0,0.0,100.0,0.0,0.0
223,Dầu oliu,900,0,0.0,100.0,0.0,0.0
224,Đậu phụ,97,82,10.9,5.4,1.1,0.4
225,Đậu phụ chúc,415,18.5,50.2,20.8,6.8,0.3
226,Đậu phụ nướng,116,78.2,13.4,6.4,1.3,0.5
227,Đậu rồng (quả non),40,89.5,1.9,0.1,7.9,1.6
228,Dâu tây,59,84.9,1.8,0.4,12.1,4.0
229,"Dầu thảo mộc (Lạc, vừng, cám...)",897,0.3,0.0,99.7,0.0,0.0
230,Đậu trắng hạt (Đậu Tây),341,14,23.2,2.1,57.4,3.6
